area,item_code,target2_code,addr2,lng,addr1,open_info,target2_etc,type,close_info,zipcode,img_name,name,target1_code,target1_etc,idx,item_etc,lat
경남,2,2,102호,129.0229219,경남 양산시 동면 금오12길 30-17,10:30~6:30,,99,"매주수요일,2.4째 일요일 정기휴무",50639,6e00c8ebb21b423ca9efad649ed92890.jpg,돼지작업실 ,99,급식카드소지자 1카드1제품 50%,913,,35.31488902
대전,99,"01,02",상가동 111호 플레인베이글,127.3385021,대전 유성구 문화원로 13,월~금10시부터 19시 토 10시부터 16시,,1,매주 일요일 월요일 휴무,34166,794a1e7cc25c488db5ea7050ca95c14c.png,플레인베이글,2,,912,,36.36352529
서울,99,"01,02",1층,127.0972138,서울 중랑구 신내로10길 29,10:00 ~22:00,,1,15:00 ~16:00,2069,,마석감자탕,1,,911,뼈해장국 / 돈가스 / 뚝배기불고기,37.60451914
서울,1,1,지하2층 Bread.co 브레댄코,126.9477004,서울 동작구 상도로 지하 272,07:00-22:00,,1,,7032,30cf962d1bfa49b3982b3ebd06ec84f6.jpg,브레댄코,2,,910,,37.50320805
강원,99,"01,99",1층 으뜸플러스안경 원주점,127.9483879,강원 원주시 원일로 122-1,09:30 - 20:00,추천,99,매주 일요일,26428,,으뜸플러스안경 원주점,1,,909,안경,37.35046544
경북,99,"01,02",썬하우스 2층 참사람태권도장 ,129.1781235,경북 경주시 충효5길 9-19,2시~21시,,2,"토,일 공휴일",38060,5d9fbb64167b43428af4795a8b06121f.jpg,경주 참사람 태권도장,2,,908,수강료,35.84469062
경기,1,"01,02",B동 115 카페메르시,126.7737861,경기 고양시 일산동구 정발산로42번길 24,평일 11-19시 주말 12-19시,,1,,10403,72fe02d00dac45db973d84f3a1a4d2b7.jpg,카페메르시,1,,907,,37.65618367
강원,99,99,스타에듀빌딩 4층 405호,127.8714197,강원 원주시 지정면 도원로 20,14:00~22:00,결식아동. 한부모가정. 기초생활수급,2,토.일,26354,,우리학원,2,,906,초.중등 종합,37.37312839
경기,99,1,"복합상가 2층, 작심스터디카페",126.8321788,경기 고양시 덕양구 화정동 1000-5,오전 08:30 ~ 익일 01:30,,2,,10503,02c517e57c244391b7ae6d6a4c636882.jpeg,작심스터디카페 고양화정점,1,,905,1개월 이용권,37.63010628
서울,99,1,1층 우측,127.0605774,서울 동대문구 휘경로 6-8,오전 11시~오후 7시,,1,매주 월요일 휴무,2440,f343267741984b2bae35970f7dc3eeed.jpg,이문동辛냉면 ,1,,904,"냉면, 만두",37.59580646
경기,1,"01,02",A9-046 ,127.2064677,경기 하남시 미사대로 550,09:00~23:00,,2,,12925,,라바유아체육 ,2,,903,,37.55676934
강원,2,"01,99",6층 리스펙스포츠클럽,128.9116089,강원 강릉시 하평1길 14,13:00~21:00,"한부모가정, 차상위계층, 기초생활수급",2,매주 일요일 휴무,25566,4fe7e87c786a44ae895d78c408477709.png,리스펙스포츠클럽,1,,901,,37.77124333
경북,1,1,1층 한돈참숯꼬기,128.3023478,경북 구미시 선산읍 선산중앙로 101,16:00-23:00,,1,"매월 첫째,셋째주 월요일",39119,1c49dcb928244963818d9b1b5ed1fb82.png,한돈참숯꼬기선산점,1,,900,,36.24315468
서울,99,99,2층,127.0965881,서울 송파구 삼학사로 41,Am9_pm10,가정형편이 어려워 운동이 힘든 아이,2,,5586,,바디안필라테스,1,,899,개인 레슨,37.50102385
서울,1,"01,02",1층 동경규동,126.8961494,서울 마포구 매봉산로2길 68,11:00 ~ 20:00,,1,"15:00~17:00 휴무시간 / 공휴일, 일요일 휴무",3930,db74628119934a94a13b57d621cdd15c.jpg,동경규동상암,3,,898,,37.57637326
경북,2,1,을찌로국물떡볶이,129.2166136,경북 경주시 황성로16번길 34,오전11~오후23:40,,1,,38087,35edd96bfbef4772b2ac03c80b88673f.jpg,을찌로국물떡볶이황성점,2,,897,,35.8628069
충남,1,1,1층 한그릇,127.008079,충남 아산시 온화로 97,오전11시~오후8시,,1,매주 수요일휴무,31574,a4535a3b131342808ad8573661a71a50.jpg,한그릇,2,,896,,36.776725
광주,2,"01,02",2층,126.818352,광주 광산구 임방울대로 142-10,PM14시~20시,,2,공휴일,62318,1e5a3220cfbb4330a4724abbe25548b2.jpg,에프비아이아카데미학원,1,,895,,35.1737094
경기,1,1,A동 105호,126.963144,경기 의왕시 어내들로 5,09:00~19:00,,1,,16046,71e0ad31a2af49bb9a2d12fdcf4c4a08.jpg,정다방,1,,894,,37.36159365
전남,1,"01,02",1층 만물상회,127.669923,전남 여수시 신기남2길 24,11:30~20:00,,1,15:00~17:00 홀 브레이크 / 매주 일요일 휴무,59687,b4d7ccb1f590402bb48dab0297d3d635.jpeg,만물상회,2,,893,,34.7601944
서울,1,"01,99",상가동 2층 201호 용인대금메달태권,127.0569993,서울 노원구 동일로250길 18,12:00 ~ 22:00,사회적배려대상자,2,토. 일. 공휴일,1623,422e88b1d9f64b30907e25cb4c9f5f59.jpg,용인대금메달태권도,1,,892,,37.68184246
서울,99,"01,02",류마타워 1층 111호 엘로이카페,126.8255148,서울 강서구 공항대로 164,08:00~19:00,,1,2주 4주 일요일,7807,09259e6692f040c190b505b51fb33965.jpg,엘로이카페,2,,891,카드 제시 할 시 1인당 음료 한잔,37.55932597
서울,2,1,용산역내인포메이션앞꽃집,126.9647415,서울 용산구 한강대로23길 55,08~23,,99,연중무휴,4377,abef114865004ac9af338c6da174d31c.jpg,인스타일,1,,889,,37.5297718
울산,1,"01,02",상가 3호 칭찬반찬또바기,129.3215028,울산 남구 수암로116번길 59-21,09:00~20:00,,1,"일요일,공휴일휴무",44755,0274259680944dd2a18fcca3ef6e8d1d.png,칭찬반찬 또바기 ,1,,888,,35.52361938
경기,99,"01,02",지하 1층 청년몰 숩,126.8659882,경기 안산시 상록구 석호로 315,12:00~19:30,,1,"매월2,4째 일요일 ,매주월",15541,1996eb34a70c4a6a8676f53a2a9163ea.jpg,숩:,1,,887,스테이크,37.29374921
경기,1,1,보광로188,126.9108976,경기 고양시 덕양구 벽제동 563-3,오전11시~저녁11시,,1,무,10267,4a929d71fad24f959bba8fa0b33a2f47.jpg,캠핑하고싶닭 ,2,,886,,37.73111028
전남,99,"01,99",상가 3층 하버드스터디카페 마동점 ,127.6887526,전남 광양시 진등길 55-5,24시간,이용대상 :고등학생만이용가능,2,무,57778,244112cd732d4d84b42b552083bafea3.png,하버드스터디카페 마동점,1,,885,일일권,34.95287143
서울,99,"01,02",태릉해링턴플레이스 상가 2층 올가드림,127.081601,서울 노원구 공릉로34길 86,오전10시~오후8시,,99,"월요일,토요일,일요일",1817,,올가드림뷰티 공릉점,1,,884,"모공케어,여드름케어",37.62576537
전북,2,1,언니네 찬,126.7013851,전북 군산시 나운4길 29-4,11시~7시,,99,일요일 공휴일,54139,8e182d5cfdee48c4ae75e4ae4b81006d.jpg,언니네 찬,1,,883,,35.96434208
충남,1,1,3층 시티아일랜드 탑텐키즈,126.6763139,충남 홍성군 홍성읍 조양로247번길 9,10:30~21:00,,3,연중무휴,32220,cd2d2450eff54029835383fb8df07ca6.jpeg,탑텐키즈 홍성 시티아일랜드,1,,882,,36.60103944
경기,2,1,1층 아이노스,126.7797645,경기 고양시 일산동구 산두로213번길 22,10월 10일,,1,매주 일요일,10358,ec5058e863434bb48fbb3b5f108957d4.jpeg,아이노스,2,,881,,37.67460163
부산,99,"01,02",1층 바로올레,129.0175899,부산 서구 고운들로 50-1,오전11~오후8시,,1,매주일요일,49233,ac73dd567d8d48c18dd02c6391ea6a32.jpg,바로올레,2,,880,점심특선스테이크(치킨.목살.윗등심),35.10636605
전남,99,"01,99",2층 마스터짐,127.48268,전남 순천시 중앙로 310,07:00~22:00,어려움이 있는 모든 아이,99,"일요일, 공휴일",57923,639e94b516b64f5e9dd92298eccdb17d.png,마스터짐,1,,879,"헬스,킥복싱,엘리트선수트레이닝",34.97329281
경기,1,"01,02",(행정리)103호,126.9148777,경기 화성시 향남읍 행정서로1길 52,오전10시-오후7시,,1,연중무휴,18598,c0203ae49f304738bfae7e7bb73ed121.jpg,곡간 수제도시락 ,2,,878,,37.12918797
강원,,,1층 로우라이트,127.7286482,강원 춘천시 중앙로77번길 33,12월 19일,,99,매수 수요일 휴무,24354,,로우라이트,,,877,,37.87753384
경기,1,1,1층,127.1660198,경기 남양주시 다산중앙로82번안길 131-70,10~19,,2,,12249,a080c800348f4f079ff12a28f5dcca2e.jpeg,아르떼칠드런 다산점,1,,876,,37.61297801
서울,99,1,1층,126.929991,서울 서대문구 연희로 89-8,오전11시~밤9시,,1,매주 일요일,3708,01787a4713cb404cbcc72e5f49180ffc.jpg,황카페,1,,875,"로제떡볶이, 음료",37.56643453
경기,,,동양아파트 상가동,126.8869172,경기 광명시 하안로 196,,,1,,14313,0aa97aee9da64d799fc93a6de662666d.jpg,뚜레쥬르 소하동양점,99,소방관,874,,37.45464833
충남,99,1,1층,127.0894367,충남 논산시 중앙로410번길 13-4,오전11시~오후9시,,1,없음,32974,,짬뽕지존논산점,1,,873,짜장면,36.20176167
서울,99,"01,02",,127.040892,서울 강남구 선릉로111길 33,9~19,,2,없음,6103,afb257251b1244c4ae21e3a8b2272213.jpeg,한국전문연주자협회,3,,872,티켓,37.51007091
부산,2,"01,99",2층 더건강한치과 ,129.0865499,부산 동래구 충렬대로 250-1,평일  오전10시~오후6시30분 화요일 저녁8시까지,독거노인,99,오후1시~오후2시까지 토요일오후1시30분까지 공후일 휴,47877,633e0ad134624f908a757c1e884af72e.jpg,더건강한치과 ,99,가족,871,,35.20100443
경북,1,1,칼국수한그릇 사동점 ,128.7538617,경북 경산시 백양로 109,11시~20시,,1,"평일15시-17시 브레이크타임, 매주수요일휴무",38599,,칼국수한그릇 사동점 ,1,,870,,35.81382915
충남,99,1,101호,127.4067613,대전 유성구 문지로 319-1,10:00-21:00,,1,14:00-17:00,34050,88cdf642a5a04403ba95a0185ad99857.jpg,치락골순대,1,,869,"순대국밥,뼈해장국,맛보기순대",36.39521382
경남,99,"01,02",1층 총각축산 (kb빌딩),128.6138315,경남 창원시 의창구 팔용동 101-1,09:00 ~ 22:00,,1,연중무휴,51373,a5941dce96424ee4be07bee7fe47b343.jpg,총각축산 팔용점,1,,868,"양념육 전품목, 삼겹살",35.2557171
